Year,Week,From,To,H1,H3,B,AandB,H1_proportion,H3_proportion,B_proportion,AandB_proportion
2019,4,20/01/2019,26/01/2019,1714,301,8,2023,0.219,0.0385,0.001,0.2585
2019,5,27/01/2019,02/02/2019,1158,259,23,1440,0.1632,0.0365,0.0032,0.203
2019,6,03/02/2019,09/02/2019,793,206,12,1011,0.1306,0.0339,0.002,0.1665
2019,7,10/02/2019,16/02/2019,773,223,16,1012,0.1213,0.035,0.0025,0.1588
2019,8,17/02/2019,23/02/2019,592,245,24,861,0.0948,0.0392,0.0038,0.1379
2019,9,24/02/2019,02/03/2019,508,289,25,822,0.0824,0.0469,0.0041,0.1334
2019,10,03/03/2019,09/03/2019,473,241,33,747,0.0792,0.0403,0.0055,0.1251
2019,11,10/03/2019,16/03/2019,368,304,37,709,0.0617,0.051,0.0062,0.1189
2019,12,17/03/2019,23/03/2019,308,240,48,596,0.0476,0.0371,0.0074,0.092
2019,13,24/03/2019,30/03/2019,225,221,51,497,0.0368,0.0361,0.0083,0.0812
2019,14,31/03/2019,06/04/2019,131,164,49,344,0.0242,0.0303,0.0091,0.0636
2019,15,07/04/2019,13/04/2019,68,154,78,300,0.011,0.0248,0.0126,0.0483
2019,16,14/04/2019,20/04/2019,48,76,65,189,0.0111,0.0176,0.0151,0.0439
2019,17,21/04/2019,27/04/2019,76,175,146,397,0.0116,0.0266,0.0222,0.0603
2019,18,28/04/2019,04/05/2019,63,105,157,325,0.0116,0.0193,0.0289,0.0598
2019,19,05/05/2019,11/05/2019,46,82,141,269,0.0085,0.0151,0.026,0.0495
2019,20,12/05/2019,18/05/2019,42,83,233,358,0.0076,0.0151,0.0423,0.065
2019,21,19/05/2019,25/05/2019,44,101,244,389,0.0079,0.0181,0.0437,0.0697
2019,22,26/05/2019,01/06/2019,30,78,224,332,0.0059,0.0154,0.0443,0.0656
2019,23,02/06/2019,08/06/2019,30,92,191,313,0.0062,0.0191,0.0396,0.065
2019,24,09/06/2019,15/06/2019,71,137,214,422,0.0128,0.0248,0.0387,0.0764
2019,25,16/06/2019,22/06/2019,99,123,198,420,0.0183,0.0228,0.0367,0.0778
2019,26,23/06/2019,29/06/2019,119,125,173,417,0.0226,0.0238,0.0329,0.0792
2019,27,30/06/2019,06/07/2019,150,137,184,471,0.0313,0.0285,0.0383,0.0981
2019,28,07/07/2019,13/07/2019,170,133,159,462,0.0338,0.0264,0.0316,0.0918
2019,29,14/07/2019,20/07/2019,161,114,135,410,0.0309,0.0219,0.0259,0.0787
2019,30,21/07/2019,27/07/2019,123,118,95,336,0.0259,0.0249,0.02,0.0708
2019,31,28/07/2019,03/08/2019,64,114,62,240,0.0142,0.0253,0.0138,0.0532
2019,32,04/08/2019,10/08/2019,44,113,50,207,0.0093,0.0239,0.0106,0.0438
2019,33,11/08/2019,17/08/2019,46,76,32,154,0.0098,0.0162,0.0068,0.0329
2019,34,18/08/2019,24/08/2019,42,66,29,137,0.0094,0.0148,0.0065,0.0307
2019,35,25/08/2019,31/08/2019,51,61,16,128,0.0117,0.014,0.0037,0.0293
2019,36,01/09/2019,07/09/2019,55,69,17,141,0.0128,0.0161,0.004,0.0328
2019,37,08/09/2019,14/09/2019,47,76,10,133,0.0114,0.0184,0.0024,0.0322
2019,38,15/09/2019,21/09/2019,56,80,17,153,0.0105,0.015,0.0032,0.0286
2019,39,22/09/2019,28/09/2019,25,49,22,96,0.0051,0.01,0.0045,0.0196
2019,40,29/09/2019,05/10/2019,41,42,16,99,0.0085,0.0088,0.0033,0.0206
2019,41,06/10/2019,12/10/2019,28,27,6,61,0.0065,0.0063,0.0014,0.0141
2019,42,13/10/2019,19/10/2019,39,19,4,62,0.0091,0.0044,0.0009,0.0144
2019,43,20/10/2019,26/10/2019,55,20,9,84,0.0116,0.0042,0.0019,0.0177
2019,44,27/10/2019,02/11/2019,42,17,17,76,0.009,0.0036,0.0036,0.0163
2019,45,03/11/2019,09/11/2019,51,14,8,73,0.0107,0.0029,0.0017,0.0153
2019,46,10/11/2019,16/11/2019,57,18,2,77,0.012,0.0038,0.0004,0.0162
2019,47,17/11/2019,23/11/2019,63,9,3,75,0.0132,0.0019,0.0006,0.0157
2019,48,24/11/2019,30/11/2019,67,9,2,78,0.014,0.0019,0.0004,0.0163
2019,49,01/12/2019,07/12/2019,83,27,3,113,0.0173,0.0056,0.0006,0.0235
2019,50,08/12/2019,14/12/2019,102,65,15,182,0.0178,0.0114,0.0026,0.0318
2019,51,15/12/2019,21/12/2019,160,99,17,276,0.0268,0.0166,0.0028,0.0462
2019,52,22/12/2019,28/12/2019,231,102,13,346,0.043,0.019,0.0024,0.0645
2020,1,29/12/2019,04/01/2020,389,184,18,591,0.0681,0.0322,0.0032,0.1035
2020,2,05/01/2020,11/01/2020,871,307,33,1211,0.1264,0.0445,0.0048,0.1757
2020,3,12/01/2020,18/01/2020,928,189,42,1159,0.1463,0.0298,0.0066,0.1827
2020,4,19/01/2020,25/01/2020,984,150,47,1181,0.1563,0.0238,0.0075,0.1876
2020,5,26/01/2020,01/02/2020,846,116,41,1003,0.1196,0.0164,0.0058,0.1417
2020,6,02/02/2020,08/02/2020,266,33,21,320,0.0471,0.0058,0.0037,0.0566
2020,7,09/02/2020,15/02/2020,75,12,6,93,0.0151,0.0024,0.0012,0.0187
2020,8,16/02/2020,22/02/2020,15,5,3,23,0.0026,0.0009,0.0005,0.0041
2020,9,23/02/2020,29/02/2020,11,3,4,18,0.0022,0.0006,0.0008,0.0036
2020,10,01/03/2020,07/03/2020,6,0,1,7,0.0014,0,0.0002,0.0017
2020,11,08/03/2020,14/03/2020,3,5,9,17,0.0007,0.0011,0.002,0.0038
2020,12,15/03/2020,21/03/2020,5,5,15,25,0.0009,0.0009,0.0027,0.0045
2020,13,22/03/2020,28/03/2020,2,1,4,7,0.0005,0.0002,0.0009,0.0016
2020,14,29/03/2020,04/04/2020,2,0,2,4,0.0009,0,0.0009,0.0017
2020,15,05/04/2020,11/04/2020,0,0,1,1,0,0,0.0005,0.0005
2020,16,12/04/2020,18/04/2020,0,0,0,0,0,0,0,0
2020,17,19/04/2020,25/04/2020,0,0,0,0,0,0,0,0
2020,18,26/04/2020,02/05/2020,0,0,0,0,0,0,0,0
2020,19,03/05/2020,09/05/2020,0,0,0,0,0,0,0,0
2020,20,10/05/2020,16/05/2020,0,0,0,0,0,0,0,0
2020,21,17/05/2020,23/05/2020,0,0,0,0,0,0,0,0
2020,22,24/05/2020,30/05/2020,0,1,0,1,0,0.0005,0,0.0005
2020,23,31/05/2020,06/06/2020,0,0,0,0,0,0,0,0
2020,24,07/06/2020,13/06/2020,0,0,0,0,0,0,0,0
2020,25,14/06/2020,20/06/2020,0,0,0,0,0,0,0,0
2020,26,21/06/2020,27/06/2020,0,0,0,0,0,0,0,0
2020,27,28/06/2020,04/07/2020,0,0,0,0,0,0,0,0
2020,28,05/07/2020,11/07/2020,0,0,0,0,0,0,0,0
2020,29,12/07/2020,18/07/2020,0,0,0,0,0,0,0,0
2020,30,19/07/2020,25/07/2020,0,0,0,0,0,0,0,0
2020,31,26/07/2020,01/08/2020,0,0,0,0,0,0,0,0
2020,32,02/08/2020,08/08/2020,0,0,0,0,0,0,0,0
2020,33,09/08/2020,15/08/2020,0,0,0,0,0,0,0,0
2020,34,16/08/2020,22/08/2020,0,0,0,0,0,0,0,0
2020,35,23/08/2020,29/08/2020,0,0,0,0,0,0,0,0
2020,36,30/08/2020,05/09/2020,0,0,0,0,0,0,0,0
2020,37,06/09/2020,12/09/2020,0,0,0,0,0,0,0,0
2020,38,13/09/2020,19/09/2020,0,0,0,0,0,0,0,0
2020,39,20/09/2020,26/09/2020,0,0,0,0,0,0,0,0
2020,40,27/09/2020,03/10/2020,0,0,1,1,0,0,0.0007,0.0007
2020,41,04/10/2020,10/10/2020,0,0,0,0,0,0,0,0
2020,42,11/10/2020,17/10/2020,0,1,0,1,0,0.0007,0,0.0007
2020,43,18/10/2020,24/10/2020,0,1,2,3,0,0.0006,0.0012,0.0018
2020,44,25/10/2020,31/10/2020,1,1,1,3,0.0006,0.0006,0.0006,0.0019
2020,45,01/11/2020,07/11/2020,0,1,2,3,0,0.0006,0.0013,0.0019
2020,46,08/11/2020,14/11/2020,0,1,0,1,0,0.0006,0,0.0006
2020,47,15/11/2020,21/11/2020,0,0,0,0,0,0,0,0
2020,48,22/11/2020,28/11/2020,0,0,2,2,0,0,0.001,0.001
2020,49,29/11/2020,05/12/2020,5,6,6,17,0.0019,0.0023,0.0023,0.0064
2020,50,06/12/2020,12/12/2020,3,3,3,9,0.0014,0.0014,0.0014,0.0041
2020,51,13/12/2020,19/12/2020,1,2,3,6,0.0005,0.001,0.0014,0.0029
2020,52,20/12/2020,26/12/2020,2,2,3,7,0.0004,0.0004,0.0005,0.0012
2021,1,27/12/2020,02/01/2021,0,3,3,6,0,0.0005,0.0005,0.0009
2021,2,03/01/2021,09/01/2021,1,1,1,3,0.0002,0.0002,0.0002,0.0005
2021,3,10/01/2021,16/01/2021,0,0,0,0,0,0,0,0
2021,4,17/01/2021,23/01/2021,1,1,1,3,0.0001,0.0001,0.0001,0.0004
2021,5,24/01/2021,30/01/2021,1,1,3,5,0.0002,0.0002,0.0005,0.0008
2021,6,31/01/2021,06/02/2021,0,0,1,1,0,0,0.0002,0.0002
2021,7,07/02/2021,13/02/2021,0,0,0,0,0,0,0,0
2021,8,14/02/2021,20/02/2021,0,0,0,0,0,0,0,0
2021,9,21/02/2021,27/02/2021,0,0,1,1,0,0,0.0002,0.0002
2021,10,28/02/2021,06/03/2021,0,1,0,1,0,0.0002,0,0.0002
2021,11,07/03/2021,13/03/2021,0,0,0,0,0,0,0,0
2021,12,14/03/2021,20/03/2021,0,0,1,1,0,0,0.0002,0.0002
2021,13,21/03/2021,27/03/2021,0,0,2,2,0,0,0.0003,0.0003
2021,14,28/03/2021,03/04/2021,0,0,0,0,0,0,0,0
2021,15,04/04/2021,10/04/2021,0,0,0,0,0,0,0,0
2021,16,11/04/2021,17/04/2021,0,1,0,1,0,0.0002,0,0.0002
2021,17,18/04/2021,24/04/2021,0,0,1,1,0,0,0.0003,0.0003
2021,18,25/04/2021,01/05/2021,0,0,0,0,0,0,0,0
2021,19,02/05/2021,08/05/2021,0,0,0,0,0,0,0,0
2021,20,09/05/2021,15/05/2021,0,0,0,0,0,0,0,0
2021,21,16/05/2021,22/05/2021,0,0,0,0,0,0,0,0
2021,22,23/05/2021,29/05/2021,0,0,0,0,0,0,0,0
2021,23,30/05/2021,05/06/2021,0,0,0,0,0,0,0,0
2021,24,06/06/2021,12/06/2021,0,0,0,0,0,0,0,0
2021,25,13/06/2021,19/06/2021,0,0,0,0,0,0,0,0
2021,26,20/06/2021,26/06/2021,0,0,0,0,0,0,0,0
2021,27,27/06/2021,03/07/2021,0,0,0,0,0,0,0,0
2021,28,04/07/2021,10/07/2021,0,0,0,0,0,0,0,0
2021,29,11/07/2021,17/07/2021,0,0,0,0,0,0,0,0
2021,30,18/07/2021,24/07/2021,0,0,1,1,0,0,0.0008,0.0008
2021,31,25/07/2021,31/07/2021,0,0,0,0,0,0,0,0
2021,32,01/08/2021,07/08/2021,0,0,0,0,0,0,0,0
2021,33,08/08/2021,14/08/2021,0,0,0,0,0,0,0,0
2021,34,15/08/2021,21/08/2021,0,0,0,0,0,0,0,0
2021,35,22/08/2021,28/08/2021,0,0,0,0,0,0,0,0
2021,36,29/08/2021,04/09/2021,0,0,0,0,0,0,0,0
2021,37,05/09/2021,11/09/2021,0,0,0,0,0,0,0,0
2021,38,12/09/2021,18/09/2021,0,0,1,1,0,0,0.0007,0.0007
2021,39,19/09/2021,25/09/2021,0,0,0,0,0,0,0,0
2021,40,26/09/2021,02/10/2021,0,0,0,0,0,0,0,0
2021,41,03/10/2021,09/10/2021,0,0,0,0,0,0,0,0
2021,42,10/10/2021,16/10/2021,2,2,2,6,0.0015,0.0015,0.0015,0.0046
2021,43,17/10/2021,23/10/2021,0,1,4,5,0,0.0008,0.0031,0.0039
2021,44,24/10/2021,30/10/2021,2,2,5,9,0.0015,0.0015,0.0038,0.0068
2021,45,31/10/2021,06/11/2021,1,2,3,6,0.0007,0.0015,0.0022,0.0044
2021,46,07/11/2021,13/11/2021,2,2,4,8,0.0015,0.0015,0.0031,0.0062
2021,47,14/11/2021,20/11/2021,0,3,2,5,0,0.002,0.0014,0.0034
2021,48,21/11/2021,27/11/2021,1,3,4,8,0.0007,0.0021,0.0028,0.0056
2021,49,28/11/2021,04/12/2021,1,2,3,6,0.0007,0.0014,0.002,0.0041
2021,50,05/12/2021,11/12/2021,0,0,4,4,0,0,0.0026,0.0026
2021,51,12/12/2021,18/12/2021,0,1,1,2,0,0.0007,0.0007,0.0013
2021,52,19/12/2021,25/12/2021,0,0,0,0,0,0,0,0
2022,1,26/12/2021,01/01/2022,0,0,2,2,0,0,0.0014,0.0014
2022,2,02/01/2022,08/01/2022,0,0,0,0,0,0,0,0
2022,3,09/01/2022,15/01/2022,0,0,1,1,0,0,0.0007,0.0007
2022,4,16/01/2022,22/01/2022,0,0,0,0,0,0,0,0
2022,5,23/01/2022,29/01/2022,0,0,0,0,0,0,0,0
2022,6,30/01/2022,05/02/2022,0,0,0,0,0,0,0,0
2022,7,06/02/2022,12/02/2022,0,0,0,0,0,0,0,0
2022,8,13/02/2022,19/02/2022,0,0,0,0,0,0,0,0
2022,9,20/02/2022,26/02/2022,0,0,0,0,0,0,0,0
2022,10,27/02/2022,05/03/2022,0,0,0,0,0,0,0,0
2022,11,06/03/2022,12/03/2022,0,0,0,0,0,0,0,0
2022,12,13/03/2022,19/03/2022,0,0,0,0,0,0,0,0
2022,13,20/03/2022,26/03/2022,0,0,0,0,0,0,0,0
2022,14,27/03/2022,02/04/2022,0,0,0,0,0,0,0,0
2022,15,03/04/2022,09/04/2022,0,0,0,0,0,0,0,0
2022,16,10/04/2022,16/04/2022,0,0,0,0,0,0,0,0
2022,17,17/04/2022,23/04/2022,0,0,0,0,0,0,0,0
2022,18,24/04/2022,30/04/2022,0,0,0,0,0,0,0,0
2022,19,01/05/2022,07/05/2022,0,0,0,0,0,0,0,0
2022,20,08/05/2022,14/05/2022,0,0,0,0,0,0,0,0
2022,21,15/05/2022,21/05/2022,0,2,0,2,0,0.002,0,0.002
2022,22,22/05/2022,28/05/2022,0,0,0,0,0,0,0,0
2022,23,29/05/2022,04/06/2022,0,0,2,2,0,0,0.0018,0.0018
2022,24,05/06/2022,11/06/2022,0,2,0,2,0,0.0015,0,0.0015
2022,25,12/06/2022,18/06/2022,0,6,3,9,0,0.0043,0.0022,0.0065
2022,26,19/06/2022,25/06/2022,0,5,0,5,0,0.0032,0,0.0032
2022,27,26/06/2022,02/07/2022,0,3,0,3,0,0.0022,0,0.0022
2022,28,03/07/2022,09/07/2022,0,1,0,1,0,0.0006,0,0.0006
2022,29,10/07/2022,16/07/2022,0,3,0,3,0,0.0021,0,0.0021
2022,30,17/07/2022,23/07/2022,0,1,0,1,0,0.0007,0,0.0007
2022,31,24/07/2022,30/07/2022,0,2,0,2,0,0.0013,0,0.0013
2022,32,31/07/2022,06/08/2022,1,0,0,1,0.0006,0,0,0.0006
2022,33,07/08/2022,13/08/2022,0,3,1,4,0,0.0018,0.0006,0.0025
2022,34,14/08/2022,20/08/2022,0,2,0,2,0,0.0011,0,0.0011
2022,35,21/08/2022,27/08/2022,0,2,0,2,0,0.0011,0,0.0011
2022,36,28/08/2022,03/09/2022,1,0,0,1,0.0005,0,0,0.0005
2022,37,04/09/2022,10/09/2022,0,0,0,0,0,0,0,0
2022,38,11/09/2022,17/09/2022,0,0,0,0,0,0,0,0
2022,39,18/09/2022,24/09/2022,0,0,0,0,0,0,0,0
2022,40,25/09/2022,01/10/2022,0,0,1,1,0,0,0.0006,0.0006
2022,41,02/10/2022,08/10/2022,0,2,0,2,0,0.0012,0,0.0012
2022,42,09/10/2022,15/10/2022,0,3,2,5,0,0.0016,0.0011,0.0027
2022,43,16/10/2022,22/10/2022,0,0,1,1,0,0,0.0006,0.0006
2022,44,23/10/2022,29/10/2022,3,4,4,11,0.0018,0.0023,0.0023,0.0064
2022,45,30/10/2022,05/11/2022,0,8,4,12,0,0.005,0.0025,0.0075
2022,46,06/11/2022,12/11/2022,0,9,6,15,0,0.0056,0.0038,0.0094
2022,47,13/11/2022,19/11/2022,2,15,0,17,0.0011,0.0084,0,0.0095
2022,48,20/11/2022,26/11/2022,0,11,3,14,0,0.0063,0.0017,0.008
2022,49,27/11/2022,03/12/2022,4,5,4,13,0.0022,0.0028,0.0022,0.0072
2022,50,04/12/2022,10/12/2022,0,9,1,10,0,0.0047,0.0005,0.0052
2022,51,11/12/2022,17/12/2022,2,1,0,3,0.001,0.0005,0,0.0015
2022,52,18/12/2022,24/12/2022,3,11,7,21,0.0011,0.0039,0.0025,0.0075
2022,53,25/12/2022,31/12/2022,10,24,4,38,0.0016,0.0038,0.0006,0.0061
2023,1,01/01/2023,07/01/2023,4,33,3,40,0.0007,0.0055,0.0005,0.0066
2023,2,08/01/2023,14/01/2023,4,41,6,51,0.0006,0.0057,0.0008,0.007
2023,3,15/01/2023,21/01/2023,1,39,3,43,0.0002,0.0064,0.0005,0.0071
2023,4,22/01/2023,28/01/2023,1,44,6,51,0.0002,0.0094,0.0013,0.0109
2023,5,29/01/2023,04/02/2023,12,58,2,72,0.0022,0.0104,0.0004,0.0129
2023,6,05/02/2023,11/02/2023,3,36,7,46,0.0006,0.0067,0.0013,0.0085
2023,7,12/02/2023,18/02/2023,6,48,6,60,0.0012,0.0093,0.0012,0.0116
2023,8,19/02/2023,25/02/2023,7,19,6,32,0.0014,0.0037,0.0012,0.0063
2023,9,26/02/2023,04/03/2023,19,14,1,34,0.0042,0.0031,0.0002,0.0075
2023,10,05/03/2023,11/03/2023,59,23,1,83,0.012,0.0047,0.0002,0.0169
2023,11,12/03/2023,18/03/2023,148,34,3,185,0.0284,0.0065,0.0006,0.0355
2023,12,19/03/2023,25/03/2023,277,72,9,358,0.0475,0.0123,0.0015,0.0614
2023,13,26/03/2023,01/04/2023,499,132,10,641,0.0809,0.0214,0.0016,0.1039
2023,14,02/04/2023,08/04/2023,844,186,1,1031,0.1179,0.026,0.0001,0.1441
2023,15,09/04/2023,15/04/2023,1668,343,4,2015,0.1445,0.0297,0.0003,0.1745
2023,16,16/04/2023,22/04/2023,1117,231,5,1352,0.1504,0.0311,0.0007,0.182
2023,17,23/04/2023,29/04/2023,982,238,5,1242,0.1167,0.0283,0.0006,0.1476
2023,18,30/04/2023,06/05/2023,613,212,3,860,0.0705,0.0244,0.0003,0.0989
2023,19,07/05/2023,13/05/2023,411,158,0,596,0.0441,0.017,0,0.064
2023,20,14/05/2023,20/05/2023,237,100,0,353,0.0257,0.0108,0,0.0383
2023,21,21/05/2023,27/05/2023,111,78,3,198,0.0124,0.0087,0.0003,0.0221
2023,22,28/05/2023,03/06/2023,61,84,1,148,0.0077,0.0106,0.0001,0.0187
2023,23,04/06/2023,10/06/2023,34,47,0,86,0.0061,0.0084,0,0.0153
2023,24,11/06/2023,17/06/2023,36,70,1,111,0.006,0.0117,0.0002,0.0185
2023,25,18/06/2023,24/06/2023,45,91,1,140,0.0085,0.0172,0.0002,0.0265
2023,26,25/06/2023,01/07/2023,46,130,0,179,0.008,0.0227,0,0.0313
2023,27,02/07/2023,08/07/2023,70,252,1,323,0.0124,0.0446,0.0002,0.0571
2023,28,09/07/2023,15/07/2023,101,328,10,443,0.0176,0.057,0.0017,0.077
2023,29,16/07/2023,22/07/2023,69,445,4,524,0.0113,0.0728,0.0007,0.0857
2023,30,23/07/2023,29/07/2023,50,469,5,529,0.0082,0.0766,0.0008,0.0864
2023,31,30/07/2023,05/08/2023,48,432,11,492,0.0081,0.073,0.0019,0.0831
2023,32,06/08/2023,12/08/2023,69,447,12,535,0.0112,0.0726,0.0019,0.0869
2023,33,13/08/2023,19/08/2023,85,525,12,626,0.0133,0.0824,0.0019,0.0983
2023,34,20/08/2023,26/08/2023,110,553,22,690,0.0169,0.0849,0.0034,0.106
2023,35,27/08/2023,02/09/2023,83,610,17,713,0.0151,0.1109,0.0031,0.1296
2023,36,03/09/2023,09/09/2023,87,895,13,1002,0.0111,0.1142,0.0017,0.1279
2023,37,10/09/2023,16/09/2023,76,770,23,870,0.0101,0.1026,0.0031,0.1159
2023,38,17/09/2023,23/09/2023,138,867,24,1039,0.018,0.1129,0.0031,0.1353
2023,39,24/09/2023,30/09/2023,117,966,52,1141,0.0153,0.1265,0.0068,0.1494
2023,40,01/10/2023,07/10/2023,139,988,48,1187,0.0156,0.1107,0.0054,0.133
2023,41,08/10/2023,14/10/2023,68,572,48,701,0.0092,0.0778,0.0065,0.0953
2023,42,15/10/2023,21/10/2023,44,387,44,481,0.0059,0.0519,0.0059,0.0646
2023,43,22/10/2023,28/10/2023,30,305,38,379,0.0043,0.0438,0.0055,0.0544
2023,44,29/10/2023,04/11/2023,26,226,52,306,0.0036,0.0313,0.0072,0.0424
2023,45,05/11/2023,11/11/2023,23,194,45,267,0.0032,0.0268,0.0062,0.0369
2023,46,12/11/2023,18/11/2023,17,171,45,239,0.0025,0.0254,0.0067,0.0356
2023,47,19/11/2023,25/11/2023,21,210,55,289,0.0029,0.0285,0.0075,0.0392
2023,48,26/11/2023,02/12/2023,24,241,56,328,0.0033,0.0332,0.0077,0.0452
2023,49,03/12/2023,09/12/2023,26,195,42,269,0.0036,0.0272,0.0059,0.0376
2023,50,10/12/2023,16/12/2023,30,280,43,366,0.004,0.0374,0.0058,0.049
2023,51,17/12/2023,23/12/2023,32,282,58,384,0.0047,0.0419,0.0086,0.057
2023,52,24/12/2023,30/12/2023,84,529,53,678,0.0105,0.0662,0.0066,0.0849
2024,1,31/12/2023,06/01/2024,66,775,166,1021,0.0076,0.0893,0.0191,0.1177
2024,2,07/01/2024,13/01/2024,61,699,163,948,0.0069,0.0787,0.0183,0.1067
2024,3,14/01/2024,20/01/2024,47,411,88,560,0.0058,0.0507,0.0109,0.0691
2024,4,21/01/2024,27/01/2024,31,255,85,389,0.0039,0.0321,0.0107,0.049
2024,5,28/01/2024,03/02/2024,29,282,120,442,0.0034,0.0333,0.0142,0.0522
2024,6,04/02/2024,10/02/2024,37,299,150,496,0.0048,0.0384,0.0193,0.0638
2024,7,11/02/2024,17/02/2024,121,319,160,611,0.0131,0.0344,0.0173,0.066
2024,8,18/02/2024,24/02/2024,177,288,218,702,0.0171,0.0278,0.021,0.0677
2024,9,25/02/2024,02/03/2024,168,242,197,635,0.0181,0.0261,0.0213,0.0685
2024,10,03/03/2024,09/03/2024,207,213,156,591,0.0208,0.0214,0.0156,0.0593
2024,11,10/03/2024,16/03/2024,279,242,136,683,0.0275,0.0239,0.0134,0.0674
2024,12,17/03/2024,23/03/2024,295,172,127,628,0.0279,0.0163,0.012,0.0594
2024,13,24/03/2024,30/03/2024,315,111,79,532,0.0333,0.0117,0.0084,0.0563
2024,14,31/03/2024,06/04/2024,351,120,56,548,0.0376,0.0129,0.006,0.0587
2024,15,07/04/2024,13/04/2024,582,125,59,804,0.0635,0.0136,0.0064,0.0877
2024,16,14/04/2024,20/04/2024,742,96,62,953,0.0761,0.0098,0.0064,0.0977
2024,17,21/04/2024,27/04/2024,841,124,51,1059,0.0844,0.0124,0.0051,0.1063
2024,18,28/04/2024,04/05/2024,1304,130,36,1549,0.1225,0.0122,0.0034,0.1455
2024,19,05/05/2024,11/05/2024,1361,99,43,1613,0.1279,0.0093,0.004,0.1516
2024,20,12/05/2024,18/05/2024,1160,79,29,1358,0.1099,0.0075,0.0027,0.1287
2024,21,19/05/2024,25/05/2024,703,65,30,868,0.0706,0.0065,0.003,0.0871
2024,22,26/05/2024,01/06/2024,534,64,14,658,0.0549,0.0066,0.0014,0.0677
2024,23,02/06/2024,08/06/2024,451,36,7,526,0.0513,0.0041,0.0008,0.0599
2024,24,09/06/2024,15/06/2024,388,40,9,465,0.0436,0.0045,0.001,0.0522
2024,25,16/06/2024,22/06/2024,425,30,13,504,0.0472,0.0033,0.0014,0.0559
2024,26,23/06/2024,29/06/2024,487,45,15,597,0.0525,0.0048,0.0016,0.0643
2024,27,30/06/2024,06/07/2024,475,38,9,548,0.0553,0.0044,0.001,0.0638
2024,28,07/07/2024,13/07/2024,449,51,7,527,0.0514,0.0058,0.0008,0.0604
2024,29,14/07/2024,20/07/2024,369,53,3,436,0.0437,0.0063,0.0004,0.0516
2024,30,21/07/2024,27/07/2024,335,60,11,419,0.0373,0.0067,0.0012,0.0466
2024,31,28/07/2024,03/08/2024,232,50,5,306,0.028,0.006,0.0006,0.0369
2024,32,04/08/2024,10/08/2024,143,66,11,234,0.0166,0.0077,0.0013,0.0272
2024,33,11/08/2024,17/08/2024,95,39,7,147,0.0121,0.005,0.0009,0.0187
2024,34,18/08/2024,24/08/2024,94,34,3,137,0.0122,0.0044,0.0004,0.0178
2024,35,25/08/2024,31/08/2024,89,33,5,136,0.0112,0.0041,0.0006,0.0171
2024,36,01/09/2024,07/09/2024,96,26,5,129,0.0127,0.0034,0.0007,0.017
2024,37,08/09/2024,14/09/2024,77,19,4,102,0.0103,0.0025,0.0005,0.0137
2024,38,15/09/2024,21/09/2024,74,12,5,92,0.0099,0.0016,0.0007,0.0123
2024,39,22/09/2024,28/09/2024,61,16,8,89,0.008,0.0021,0.0011,0.0117
2024,40,29/09/2024,05/10/2024,55,15,22,95,0.0075,0.002,0.003,0.0129
2024,41,06/10/2024,12/10/2024,42,5,7,55,0.006,0.0007,0.001,0.0078
2024,42,13/10/2024,19/10/2024,23,2,10,36,0.0031,0.0003,0.0013,0.0048
